SYNCount,NumberOfPackets,UniqSrcIPs,DNSCount,RSTCount,SSHCount
6,355,14,16,0,0
4,333,12,14,0,0
4,319,12,16,0,0
4,305,12,16,0,0
3,260,13,16,0,0
3,259,13,6,0,0
3,214,11,6,0,0
2,171,10,6,0,0
2,145,10,6,0,0
2,119,10,6,0,0
2,98,11,6,0,0
4,84,13,12,0,0
2,85,10,8,0,0
2,67,9,8,0,0
2,64,8,8,0,0
2,62,8,8,0,0
2,63,9,8,0,0
2,62,9,8,0,0
2,58,7,6,0,0
0,43,5,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,2,2,0,0,0
0,5,4,0,0,0
0,23,4,0,0,0
1,66,5,0,0,0
1,85,5,0,0,0
1,103,5,0,0,0
1,121,5,0,0,0
2,156,6,2,0,0
2,155,5,2,0,0
2,155,6,2,0,0
2,137,6,2,0,0
1,94,5,2,0,0
1,75,5,2,0,0
1,72,7,2,0,0
1,75,7,2,0,0
1,65,6,0,0,0
1,105,6,0,0,0
2,125,6,0,0,0
3,192,9,4,0,0
3,193,10,4,0,0
3,194,10,4,0,0
3,179,9,4,0,0
4,174,11,8,0,0
3,162,11,8,0,0
3,122,11,8,0,0
2,128,12,8,0,0
1,62,9,4,0,0
1,63,9,6,0,0
1,62,8,6,0,0
1,65,9,8,0,0
0,49,8,4,0,0
0,35,6,4,0,0
0,35,6,4,0,0
0,6,4,4,0,0
0,7,3,4,0,0
0,7,5,2,0,0
0,9,5,4,0,0
0,8,5,2,0,0
0,8,5,2,0,0
0,13,6,2,0,0
0,13,6,2,0,0
0,13,6,2,0,0
0,11,6,2,0,0
0,9,5,2,0,0
0,31,6,0,0,0
0,54,7,0,0,0
0,77,8,0,0,0
0,100,7,0,0,0
1,124,9,2,0,0
1,126,9,2,0,0
1,126,9,2,0,0
1,126,9,2,0,0
1,102,9,2,0,0
1,77,8,2,0,0
1,54,8,2,0,0
1,26,6,2,0,0
0,3,3,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,5,2,0,0,0
0,5,2,0,0,0
0,5,2,0,0,0
0,17,3,0,0,0
0,67,3,0,0,0
1,148,5,2,0,0
1,345,5,2,0,0
1,465,5,2,0,0
1,545,5,2,0,0
1,560,5,2,0,0
1,561,6,2,0,0
1,546,6,2,0,0
1,496,6,2,0,0
0,415,5,0,0,0
0,218,4,0,0,0
0,99,5,0,0,0
0,17,5,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,57,2,0,0,0
1,135,6,2,0,0
1,135,6,2,0,0
1,139,6,2,0,0
1,139,6,2,0,0
1,143,6,2,0,0
2,171,9,4,0,0
2,171,9,4,0,0
2,114,9,4,0,0
1,40,8,2,0,0
1,40,8,2,0,0
2,65,10,6,0,0
2,65,10,6,0,0
2,63,10,6,0,0
1,35,8,4,0,0
1,35,8,4,0,0
1,38,9,6,0,0
1,34,8,6,0,0
1,34,8,6,0,0
0,7,5,4,0,0
0,7,5,4,0,0
0,6,4,4,0,0
1,33,6,6,0,0
1,33,6,6,0,0
1,32,5,6,0,0
1,32,5,6,0,0
1,32,5,6,0,0
2,66,7,10,0,0
2,66,7,10,0,0
2,65,7,10,0,0
1,38,5,8,0,0
1,50,7,8,0,0
1,86,7,8,0,0
1,131,8,8,0,0
1,218,8,8,0,0
1,277,7,6,0,0
2,353,7,8,0,0
2,353,7,8,0,0
2,353,7,8,0,0
2,341,6,8,0,0
3,330,8,10,0,0
3,286,9,10,0,0
3,201,10,10,0,0
2,106,9,6,0,0
1,30,6,4,0,0
1,32,6,6,0,0
1,32,6,6,0,0
1,32,6,6,0,0
1,35,6,6,0,0
1,34,6,6,0,0
1,32,4,6,0,0
1,35,5,8,0,0
1,35,5,8,0,0
1,35,5,8,0,0
1,35,5,8,0,0
1,35,5,8,0,0
0,5,3,4,0,0
1,30,5,6,0,0
1,30,5,6,0,0
1,27,4,4,0,0
1,31,4,8,0,0
1,32,5,6,0,0
1,32,5,6,0,0
1,32,5,6,0,0
1,32,5,6,0,0
0,9,5,4,0,0
0,9,5,4,0,0
0,11,5,4,0,0
1,22,8,4,0,0
1,42,9,4,0,0
1,43,9,4,0,0
1,46,10,4,0,0
1,48,10,4,0,0
1,46,9,4,0,0
1,46,9,4,0,0
1,44,9,4,0,0
0,29,7,0,0,0
0,8,6,0,0,0
0,7,6,0,0,0
0,4,3,0,0,0
0,2,2,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
1,24,3,0,0,0
2,62,7,0,0,0
2,121,8,0,0,0
2,166,8,0,0,0
2,207,8,0,0,0
2,250,8,0,0,0
3,325,10,2,0,0
3,344,9,2,0,0
3,400,8,4,0,0
2,362,8,4,0,0
2,303,5,4,0,0
2,263,8,4,0,0
2,222,8,4,0,0
2,179,8,4,0,0
1,104,7,2,0,0
1,84,7,2,0,0
0,5,3,0,0,0
0,5,3,0,0,0
0,5,3,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
4,75,7,6,0,0
6,124,9,16,0,0
8,163,10,16,0,0
9,190,14,16,0,0
10,226,14,16,0,0
10,232,14,16,0,0
12,280,17,18,0,0
12,282,17,18,0,0
8,213,16,12,0,0
6,164,15,2,0,0
5,155,14,4,0,0
4,127,11,4,0,0
3,91,9,4,0,0
3,85,8,4,0,0
1,37,6,2,0,0
1,38,7,2,0,0
1,35,7,2,0,0
1,36,7,2,0,0
1,41,7,6,0,0
1,39,7,6,0,0
1,39,7,6,0,0
1,45,8,6,0,0
1,45,8,6,0,0
1,44,5,8,0,0
1,44,5,8,0,0
1,82,8,8,0,0
0,97,7,2,0,0
1,142,8,4,0,0
1,143,9,4,0,0
1,137,7,4,0,0
1,137,7,4,0,0
1,135,6,2,0,0
1,137,7,4,0,0
1,98,6,4,0,0
1,48,6,4,0,0
0,4,4,2,0,0
0,4,3,2,0,0
0,4,3,2,0,0
0,7,5,2,0,0
0,22,5,2,0,0
0,35,3,0,0,0
0,50,3,0,0,0
0,65,3,0,0,0
0,79,3,0,0,0
0,93,2,0,0,0
1,135,5,2,0,0
1,132,5,2,0,0
2,146,8,4,0,0
2,131,8,4,0,0
2,118,8,4,0,0
2,103,8,4,0,0
2,90,8,6,0,0
3,98,10,6,0,0
2,56,7,4,0,0
2,56,7,4,0,0
1,30,5,2,0,0
1,31,6,2,0,0
1,29,6,2,0,0
1,29,6,2,0,0
1,27,5,0,0,0
0,6,4,2,0,0
0,30,6,2,0,0
0,61,7,2,0,0
0,89,6,2,0,0
1,131,6,4,0,0
1,133,7,4,0,0
1,133,7,4,0,0
1,135,8,4,0,0
1,133,7,2,0,0
1,111,7,2,0,0
1,80,7,2,0,0
1,51,7,2,0,0
0,10,7,0,0,0
0,26,6,0,0,0
0,59,6,0,0,0
0,93,7,0,0,0
0,126,7,0,0,0
1,151,7,2,0,0
1,151,7,2,0,0
1,174,9,2,0,0
1,232,8,2,0,0
2,271,8,4,0,0
2,238,8,4,0,0
2,202,7,4,0,0
2,170,8,4,0,0
1,146,8,2,0,0
1,146,8,2,0,0
2,133,8,2,0,0
2,73,8,2,0,0
1,16,5,0,0,0
3,42,6,0,0,0
3,62,6,0,0,0
3,61,5,0,0,0
3,58,3,0,0,0
3,58,3,0,0,0
2,47,4,0,0,0
2,48,4,0,0,0
2,48,4,0,0,0
0,22,3,0,0,0
0,2,1,0,0,0
0,2,1,0,0,0
0,2,1,0,0,0
0,2,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,22,3,0,0,0
0,60,3,0,0,0
0,98,4,0,0,0
1,141,5,2,0,0
1,167,5,2,0,0
1,170,6,2,0,0
1,170,6,2,0,0
1,170,6,2,0,0
1,149,6,2,0,0
1,111,6,2,0,0
1,73,5,2,0,0
0,29,5,0,0,0
0,3,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,4,3,0,0,0
0,6,4,0,0,0
0,9,6,0,0,0
0,9,6,0,0,0
0,9,6,0,0,0
0,9,6,0,0,0
0,7,5,0,0,0
0,70,7,0,0,0
2,177,10,6,0,0
2,175,10,6,0,0
2,174,11,6,0,0
2,176,11,6,0,0
3,212,12,20,0,0
3,218,12,20,0,0
3,230,12,20,0,0
3,170,12,20,0,0
1,66,7,14,0,0
1,66,7,14,0,0
1,66,5,14,0,0
1,66,5,14,0,0
0,32,2,0,0,0
0,30,4,2,0,0
0,23,5,2,0,0
0,25,5,2,0,0
0,29,5,2,0,0
0,29,5,2,0,0
0,40,5,2,0,0
0,38,5,2,0,0
0,36,5,2,0,0
0,32,3,0,0,0
0,27,3,0,0,0
0,22,2,0,0,0
0,14,3,0,0,0
0,14,3,0,0,0
0,19,3,0,0,0
0,79,3,0,0,0
1,137,6,2,0,0
1,137,6,2,0,0
1,137,6,2,0,0
1,137,6,2,0,0
1,136,6,2,0,0
1,140,7,2,0,0
1,148,7,2,0,0
1,112,7,2,0,0
0,80,4,0,0,0
0,120,5,0,0,0
2,178,8,2,0,0
3,231,9,6,0,0
4,278,10,8,0,0
4,365,11,8,0,0
4,416,11,15,0,0
4,398,11,15,0,0
4,392,11,15,0,0
4,354,11,17,0,0
2,307,10,17,0,0
3,349,11,21,0,0
