NumberOfPackets1,SYNCount60,UniqSrcIps60,DNSCount60,RSTCount32,RSTCount60,SSHCount60
19,11,18,70,0,0,0
1,11,18,70,0,0,0
11,11,18,80,0,0,0
29,12,19,84,0,0,0
12,13,19,84,0,0,0
1,13,19,84,0,0,0
0,13,19,84,0,0,0
25,14,19,86,0,0,0
0,14,19,86,0,0,0
0,14,19,86,0,0,0
11,14,19,96,0,0,0
30,15,20,100,0,0,0
11,15,20,110,0,0,0
0,15,20,108,0,0,0
0,13,20,104,0,0,0
1,13,19,104,0,0,0
43,15,22,110,0,0,0
31,16,22,112,0,0,0
26,17,22,112,0,0,0
25,17,23,108,0,0,0
39,15,23,116,0,0,0
28,16,23,116,0,0,0
52,18,24,118,0,0,0
45,19,25,122,0,0,0
41,21,26,128,0,0,0
22,21,26,128,0,0,0
0,21,25,128,0,0,0
0,21,25,128,0,0,0
4,21,25,132,0,0,0
0,21,25,132,0,0,0
0,21,25,132,0,0,0
0,21,25,132,0,0,0
2,21,25,132,0,0,0
29,20,25,128,0,0,0
2,20,25,128,0,0,0
1,20,25,128,0,0,0
4,20,25,130,0,0,0
0,20,25,130,0,0,0
0,20,25,130,0,0,0
0,20,25,130,0,0,0
0,20,25,130,0,0,0
0,20,24,130,0,0,0
0,20,24,130,0,0,0
0,20,24,130,0,0,0
0,20,24,130,0,0,0
3,20,25,130,0,0,0
3,20,25,130,0,0,0
0,20,25,130,0,0,0
3,20,25,122,0,0,0
41,21,26,120,0,0,0
32,22,26,122,0,0,0
51,24,27,124,0,0,0
24,25,27,124,0,0,0
0,25,27,124,0,0,0
28,26,27,124,0,0,0
33,27,27,128,0,0,0
25,27,27,128,0,0,0
1,26,27,108,0,0,0
2,26,27,110,0,0,0
2,26,27,110,0,0,0
30,28,27,102,0,0,0
25,29,27,102,0,0,0
27,29,27,94,0,0,0
0,28,26,90,0,0,0
8,28,26,90,0,0,0
16,28,26,92,0,0,0
15,28,26,92,0,0,0
17,27,25,92,0,0,0
17,27,25,92,0,0,0
14,27,25,92,0,0,0
16,27,25,82,0,0,0
2,26,24,78,0,0,0
144,27,25,72,0,0,0
0,27,25,72,0,0,0
69,29,25,112,0,0,0
30,29,25,112,0,0,0
17,27,25,106,0,0,0
0,26,25,104,0,0,0
0,25,25,104,0,0,0
0,24,25,104,0,0,0
0,23,24,90,0,0,0
0,22,24,90,0,0,0
0,20,24,88,0,0,0
31,21,26,86,0,0,0
0,19,26,80,0,0,0
48,20,26,82,0,0,0
1,20,26,82,0,0,0
0,20,26,82,0,0,0
0,20,26,78,0,0,0
47,21,26,80,0,0,0
0,21,26,80,0,0,0
0,21,26,80,0,0,0
0,21,25,80,0,0,0
4,20,24,78,0,0,0
0,20,24,78,0,0,0
1,20,24,78,0,0,0
4,20,24,78,0,0,0
25,21,25,80,0,0,0
29,22,25,82,0,0,0
0,22,25,82,0,0,0
2,22,26,82,0,0,0
0,22,26,82,0,0,0
2,22,26,84,0,0,0
0,22,26,84,0,0,0
3,22,26,86,0,0,0
25,23,26,86,0,0,0
2,23,26,86,0,0,0
1,23,26,86,0,0,0
27,23,26,88,0,0,0
4,21,26,84,0,0,0
0,20,26,82,0,0,0
0,18,24,80,0,0,0
0,17,24,80,0,0,0
0,17,24,80,0,0,0
0,16,24,80,0,0,0
1,15,24,76,0,0,0
0,15,24,76,0,0,0
1,15,24,76,0,0,0
0,15,24,74,0,0,0
2,15,24,74,0,0,0
0,13,23,72,0,0,0
0,12,22,72,0,0,0
2,12,22,72,0,0,0
0,12,22,72,0,0,0
3,12,22,72,0,0,0
21,12,22,70,0,0,0
0,12,22,70,0,0,0
12,13,22,68,0,0,0
26,14,22,70,0,0,0
0,14,22,70,0,0,0
29,16,23,70,0,0,0
41,17,23,78,0,0,0
31,16,22,86,0,0,0
2,16,22,88,0,0,0
0,14,22,48,0,0,0
3,14,22,50,0,0,0
2,14,21,50,0,0,0
0,14,21,50,0,0,0
0,14,21,50,0,0,0
0,14,21,50,0,0,0
0,14,21,50,0,0,0
2,14,21,52,0,0,0
0,14,21,52,0,0,0
2,12,21,52,0,0,0
0,12,21,52,0,0,0
1,11,19,50,0,0,0
0,11,18,50,0,0,0
0,11,18,50,0,0,0
0,11,18,50,0,0,0
25,11,19,48,0,0,0
0,11,19,48,0,0,0
30,12,21,52,0,0,0
0,12,21,52,0,0,0
0,12,21,48,0,0,0
0,12,21,48,0,0,0
41,13,21,54,0,0,0
0,13,21,52,0,0,0
0,12,21,50,0,0,0
49,13,21,50,0,0,0
0,13,21,50,0,0,0
5,13,20,52,0,0,0
0,13,20,52,0,0,0
2,13,20,50,0,0,0
0,13,20,50,0,0,0
2,13,21,48,0,0,0
1,12,20,48,0,0,0
2,12,20,48,0,0,0
9,12,21,48,0,0,0
2,11,21,48,0,0,0
0,11,20,48,0,0,0
0,11,20,48,0,0,0
0,11,20,48,0,0,0
2,11,21,48,0,0,0
0,11,21,48,0,0,0
0,11,21,48,0,0,0
1,11,21,48,0,0,0
30,12,22,50,0,0,0
1,12,22,50,0,0,0
0,12,22,50,0,0,0
0,12,22,50,0,0,0
2,12,22,50,0,0,0
2,12,22,52,0,0,0
0,12,22,50,0,0,0
0,12,22,50,0,0,0
41,12,24,50,0,0,0
1,12,24,50,0,0,0
0,12,24,50,0,0,0
0,11,24,50,0,0,0
1,10,23,48,0,0,0
0,10,23,48,0,0,0
2,8,23,50,0,0,0
23,8,21,42,0,0,0
0,8,21,30,0,0,0
0,8,21,28,0,0,0
0,8,21,28,0,0,0
1,8,21,26,0,0,0
2,8,21,26,0,0,0
0,8,21,26,0,0,0
0,8,21,26,0,0,0
0,8,21,26,0,0,0
0,8,21,26,0,0,0
0,8,21,24,0,0,0
29,9,22,26,0,0,0
1,9,22,24,0,0,0
0,9,22,24,0,0,0
2,9,22,24,0,0,0
1,9,22,24,0,0,0
0,9,22,24,0,0,0
0,9,22,24,0,0,0
0,8,21,24,0,0,0
0,8,21,24,0,0,0
0,7,19,20,0,0,0
0,7,19,20,0,0,0
0,7,19,20,0,0,0
0,7,19,20,0,0,0
2,6,18,14,0,0,0
23,7,19,14,0,0,0
0,7,19,14,0,0,0
0,5,18,12,0,0,0
0,5,18,12,0,0,0
0,5,17,10,0,0,0
0,5,17,10,0,0,0
0,5,17,10,0,0,0
0,5,17,10,0,0,0
2,5,17,10,0,0,0
1,5,17,10,0,0,0
4,5,17,10,0,0,0
0,5,17,10,0,0,0
2,5,18,8,0,0,0
0,5,18,8,0,0,0
0,5,18,8,0,0,0
0,5,18,8,0,0,0
0,5,17,8,0,0,0
0,5,17,8,0,0,0
0,5,17,8,0,0,0
1,5,17,8,0,0,0
2,4,16,6,0,0,0
1,4,16,6,0,0,0
0,4,16,6,0,0,0
0,4,16,6,0,0,0
0,4,16,6,0,0,0
4,4,16,4,0,0,0
0,4,16,4,0,0,0
0,4,16,4,0,0,0
1,3,14,4,0,0,0
1,3,14,4,0,0,0
4,3,15,4,0,0,0
0,3,15,4,0,0,0
0,3,15,4,0,0,0
0,3,15,4,0,0,0
25,4,16,4,0,0,0
0,3,15,4,0,0,0
0,3,15,4,0,0,0
0,3,15,4,0,0,0
49,5,17,8,0,0,0
1,5,17,8,0,0,0
2,5,17,8,0,0,0
0,5,17,8,0,0,0
2,5,17,10,0,0,0
0,5,17,10,0,0,0
12,6,17,10,0,0,0
0,6,17,10,0,0,0
30,6,17,8,0,0,0
0,6,17,8,0,0,0
0,6,17,8,0,0,0
1,6,17,8,0,0,0
25,7,17,10,0,0,0
2,7,17,12,0,0,0
0,7,17,12,0,0,0
2,7,17,14,0,0,0
0,7,17,14,0,0,0
0,7,17,14,0,0,0
1,7,17,14,0,0,0
0,7,17,14,0,0,0
0,7,17,14,0,0,0
1,7,17,14,0,0,0
0,6,16,14,0,0,0
0,6,16,14,0,0,0
2,6,16,16,0,0,0
0,6,16,16,0,0,0
0,6,16,16,0,0,0
0,6,16,16,0,0,0
0,6,16,16,0,0,0
0,6,16,16,0,0,0
0,6,15,16,0,0,0
1,6,15,16,0,0,0
2,6,15,16,0,0,0
0,6,15,16,0,0,0
2,6,15,16,0,0,0
0,6,15,16,0,0,0
31,7,16,18,0,0,0
0,7,16,18,0,0,0
2,7,17,18,0,0,0
0,7,17,18,0,0,0
0,7,17,18,0,0,0
1,7,17,18,0,0,0
26,8,17,18,0,0,0
24,9,17,18,0,0,0
1,9,17,18,0,0,0
0,9,17,18,0,0,0
2,9,18,18,0,0,0
0,9,18,18,0,0,0
0,9,18,18,0,0,0
0,9,18,18,0,0,0
0,9,18,18,0,0,0
3,9,18,18,0,0,0
0,9,17,18,0,0,0
23,10,17,18,0,0,0
0,10,17,18,0,0,0
27,11,18,20,0,0,0
0,10,17,18,0,0,0
0,10,17,18,0,0,0
0,10,17,18,0,0,0
23,11,19,18,0,0,0
2,9,18,16,0,0,0
1,9,18,16,0,0,0
2,9,18,16,0,0,0
0,9,18,16,0,0,0
0,9,18,14,0,0,0
0,9,18,14,0,0,0
0,8,18,14,0,0,0
27,9,18,16,0,0,0
2,8,18,18,0,0,0
1,8,19,18,0,0,0
1,8,19,18,0,0,0
27,9,19,20,0,0,0
10,8,18,20,0,0,0
24,8,18,18,0,0,0
21,8,18,18,0,0,0
16,8,18,16,0,0,0
111,8,18,21,0,0,0
3,8,18,21,0,0,0
13,8,18,21,0,0,0
10,8,18,21,0,0,0
0,8,18,21,0,0,0
4,8,18,23,0,0,0
36,9,19,31,0,0,0
0,9,19,31,0,0,0
0,9,19,29,0,0,0
0,9,19,29,0,0,0
0,9,19,29,0,0,0
0,9,19,29,0,0,0
0,9,19,29,0,0,0
2,9,19,31,0,0,0
0,9,19,31,0,0,0
1,9,19,31,0,0,0
2,9,19,31,0,0,0
0,9,19,31,0,0,0
0,9,18,31,0,0,0
0,9,18,31,0,0,0
0,8,18,29,0,0,0
4,8,18,29,0,0,0
2,8,19,29,0,0,0
28,10,22,31,0,0,0
22,10,22,31,0,0,0
1,10,22,31,0,0,0
2,9,21,31,0,0,0
3,8,19,33,0,0,0
0,8,19,33,0,0,0
4,8,20,34,0,0,0
0,8,19,34,0,0,0
26,9,19,34,0,0,0
0,9,19,34,0,0,0
0,9,19,34,0,0,0
2,9,20,34,0,0,0
5,9,20,36,0,0,0
0,9,20,36,0,0,0
0,8,20,36,0,0,0
0,8,20,36,0,0,0
0,7,19,34,0,0,0
0,7,19,34,0,0,0
2,7,19,34,0,0,0
29,8,20,42,0,0,0
23,7,18,42,0,0,0
25,7,18,40,0,0,0
1,7,18,40,0,0,0
2,7,18,40,0,0,0
0,7,18,40,0,0,0
0,7,18,40,0,0,0
0,7,18,40,0,0,0
1,7,18,40,0,0,0
0,6,18,38,0,0,0
0,6,18,36,0,0,0
0,6,18,36,0,0,0
0,6,18,36,0,0,0
1,5,18,34,0,0,0
0,5,17,32,0,0,0
0,5,17,32,0,0,0
0,5,17,32,0,0,0
0,5,17,32,0,0,0
0,5,17,27,0,0,0
0,5,17,27,0,0,0
0,5,17,27,0,0,0
0,5,16,27,0,0,0
0,5,16,27,0,0,0
1,5,16,25,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,17,0,0,0
0,4,15,15,0,0,0
0,4,15,15,0,0,0
1,4,15,15,0,0,0
2,4,15,15,0,0,0
0,4,15,15,0,0,0
0,4,15,15,0,0,0
1,4,15,15,0,0,0
0,4,15,15,0,0,0
0,4,15,15,0,0,0
0,4,15,15,0,0,0
0,2,14,13,0,0,0
0,2,12,13,0,0,0
1,2,12,13,0,0,0
2,2,12,13,0,0,0
1,2,12,11,0,0,0
3,2,12,11,0,0,0
0,2,11,10,0,0,0
8,2,12,10,0,0,0
17,1,10,10,0,0,0
16,1,10,10,0,0,0
18,1,10,10,0,0,0
18,1,9,10,0,0,0
19,1,8,8,0,0,0
12,1,8,8,0,0,0
42,2,8,12,0,0,0
2,2,9,12,0,0,0
0,2,9,12,0,0,0
2,2,9,12,0,0,0
0,2,9,12,0,0,0
0,1,9,4,0,0,0
0,1,9,4,0,0,0
0,1,9,4,0,0,0
1,1,9,4,0,0,0
2,1,9,4,0,0,0
0,1,9,4,0,0,0
0,1,9,4,0,0,0
1,1,9,4,0,0,0
0,1,9,4,0,0,0
0,1,9,4,0,0,0
0,1,9,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
2,1,10,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
1,1,10,4,0,0,0
2,1,10,4,0,0,0
0,1,10,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
0,1,10,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
1,1,10,4,0,0,0
0,1,10,4,0,0,0
43,1,10,4,0,0,0
99,1,9,4,0,0,0
12,2,9,4,0,0,0
2,2,9,4,0,0,0
0,2,9,4,0,0,0
8,2,10,4,0,0,0
1,2,10,4,0,0,0
0,2,10,4,0,0,0
0,1,10,0,0,0,0
0,1,9,0,0,0,0
0,1,9,0,0,0,0
0,1,9,0,0,0,0
30,2,11,10,0,0,0
30,2,12,10,0,0,0
20,3,13,10,0,0,0
21,3,13,10,0,0,0
11,4,13,12,0,0,0
9,4,13,12,0,0,0
3,4,13,12,0,0,0
15,5,13,12,0,0,0
36,6,14,16,0,0,0
14,7,14,16,0,0,0
1,7,14,16,0,0,0
3,7,14,16,0,0,0
19,8,14,20,0,0,0
3,8,14,20,0,0,0
16,9,14,20,0,0,0
3,9,13,20,0,0,0
16,10,13,20,0,0,0
78,10,13,20,0,0,0
75,10,13,20,0,0,0
59,12,13,20,0,0,0
291,27,13,22,0,0,0
0,27,13,22,0,0,0
6,27,13,22,0,0,0
0,27,13,22,0,0,0
1,27,13,22,0,0,0
29,28,14,32,0,0,0
25,28,14,32,0,0,0
16,28,14,32,0,0,0
10,28,14,32,0,0,0
2,28,14,34,0,0,0
0,28,14,34,0,0,0
6,28,14,34,0,0,0
0,28,14,34,0,0,0
1,28,14,34,0,0,0
1,28,14,34,0,0,0
2,28,14,34,0,0,0
0,28,14,34,0,0,0
2,28,14,36,0,0,0
0,28,14,36,0,0,0
0,28,14,36,0,0,0
0,28,14,36,0,0,0
26,29,16,36,0,0,0
0,29,16,36,0,0,0
0,29,16,36,0,0,0
1,29,16,36,0,0,0
0,29,16,36,0,0,0
37,29,16,36,0,0,0
86,30,17,36,0,0,0
62,31,17,42,0,0,0
0,31,17,42,0,0,0
0,30,17,42,0,0,0
0,30,17,42,0,0,0
0,30,17,42,0,0,0
2,30,17,42,0,0,0
1,30,17,42,0,0,0
22,31,18,44,0,0,0
10,31,18,44,0,0,0
30,33,20,44,0,0,0
24,34,21,44,0,0,0
39,34,21,44,0,0,0
31,33,21,34,0,0,0
32,33,20,34,0,0,0
30,32,20,34,0,0,0
36,33,20,34,0,0,0
1,32,20,32,0,0,0
4,32,21,32,0,0,0
6,32,21,32,0,0,0
0,31,21,32,0,0,0
0,30,20,28,0,0,0
0,29,20,28,0,0,0
0,29,20,28,0,0,0
0,29,20,28,0,0,0
1,28,21,24,0,0,0
0,28,21,24,0,0,0
2,27,21,24,0,0,0
1,27,21,24,0,0,0
0,26,21,24,0,0,0
0,26,21,24,0,0,0
0,26,21,24,0,0,0
0,24,21,24,0,0,0
0,9,21,22,0,0,0
0,9,21,22,0,0,0
0,9,21,22,0,0,0
0,9,21,22,0,0,0
1,9,21,22,0,0,0
0,8,21,12,0,0,0
0,8,21,12,0,0,0
0,8,21,12,0,0,0
0,8,21,12,0,0,0
0,8,21,10,0,0,0
4,8,21,10,0,0,0
0,8,20,10,0,0,0
14,9,21,12,0,0,0
49,10,22,12,0,0,0
69,11,22,12,0,0,0
105,13,22,14,0,0,0
29,14,22,18,0,0,0
21,14,22,16,0,0,0
32,15,22,20,0,0,0
0,15,22,20,0,0,0
0,15,22,20,0,0,0
4,14,21,24,0,0,0
0,14,21,24,0,0,0
0,14,21,24,0,0,0
2,14,21,26,0,0,0
1,14,21,26,0,0,0
1,14,21,26,0,0,0
0,13,20,26,0,0,0
0,12,19,20,0,0,0
4,12,19,24,0,0,0
0,12,19,24,0,0,0
0,12,19,24,0,0,0
49,14,20,26,0,0,0
39,14,21,26,0,0,0
43,14,21,26,0,0,0
86,16,21,28,0,0,0
19,16,21,38,0,0,0
48,14,20,38,0,0,0
45,14,20,38,0,0,0
26,14,19,38,0,0,0
27,14,19,38,0,0,0
25,14,19,40,0,0,0
29,14,19,40,0,0,0
41,15,20,44,0,0,0
18,15,20,44,0,0,0
3,15,19,44,0,0,0
2,15,19,44,0,0,0
0,15,19,44,0,0,0
1,15,19,44,0,0,0
4,15,20,46,0,0,0
15,17,21,52,0,0,0
42,17,21,52,0,0,0
0,17,21,52,0,0,0
0,17,21,52,0,0,0
0,17,21,52,0,0,0
1,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
0,17,20,52,0,0,0
1,17,20,52,0,0,0
1,17,20,52,0,0,0
3,17,20,52,0,0,0
18,17,20,52,0,0,0
43,18,20,52,0,0,0
19,18,20,52,0,0,0
18,18,20,52,0,0,0
18,17,20,50,0,0,0
36,17,19,52,0,0,0
0,16,18,52,0,0,0
3,14,18,50,0,0,0
0,13,18,46,0,0,0
0,13,17,46,0,0,0
0,12,17,42,0,0,0
15,12,17,42,0,0,0
21,12,17,42,0,0,0
26,13,17,38,0,0,0
40,13,17,38,0,0,0
23,14,19,38,0,0,0
67,15,19,40,0,0,0
1,15,19,40,0,0,0
1,15,19,40,0,0,0
0,15,19,40,0,0,0
16,16,20,44,0,0,0
14,16,20,40,0,0,0
0,16,20,40,0,0,0
29,16,20,40,0,0,0
1,14,19,38,0,0,0
2,14,19,40,0,0,0
0,14,19,40,0,0,0
3,11,19,38,0,0,0
0,11,19,28,0,0,0
0,11,19,28,0,0,0
0,10,18,28,0,0,0
0,10,18,28,0,0,0
2,10,18,28,0,0,0
2,10,18,26,0,0,0
2,10,18,28,0,0,0
2,8,18,24,0,0,0
0,8,18,24,0,0,0
5,8,18,24,0,0,0
0,8,18,24,0,0,0
0,8,18,24,0,0,0
0,8,18,24,0,0,0
0,8,17,22,0,0,0
24,6,17,16,0,0,0
25,6,16,16,0,0,0
23,6,17,16,0,0,0
28,6,18,16,0,0,0
24,7,18,18,0,0,0
2,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
1,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
1,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,7,18,18,0,0,0
0,6,17,18,0,0,0
0,6,17,18,0,0,0
0,6,17,18,0,0,0
0,6,17,18,0,0,0
0,5,17,16,0,0,0
0,5,17,16,0,0,0
3,5,17,16,0,0,0
0,5,17,16,0,0,0
0,5,17,16,0,0,0
0,5,17,16,0,0,0
0,5,17,16,0,0,0
2,5,17,16,0,0,0
0,4,17,16,0,0,0
0,4,17,16,0,0,0
15,3,17,16,0,0,0
50,2,15,12,0,0,0
81,3,15,14,0,0,0
197,3,15,14,0,0,0
120,3,15,14,0,0,0
82,2,15,10,0,0,0
15,2,13,10,0,0,0
1,2,13,10,0,0,0
0,2,12,10,0,0,0
0,2,12,10,0,0,0
0,2,12,8,0,0,0
0,2,12,8,0,0,0
1,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,12,6,0,0,0
0,2,11,4,0,0,0
0,2,11,4,0,0,0
57,2,11,4,0,0,0
78,3,11,6,0,0,0
0,3,11,6,0,0,0
4,3,11,6,0,0,0
0,3,11,6,0,0,0
4,3,11,6,0,0,0
28,4,14,8,0,0,0
0,4,13,8,0,0,0
0,4,13,8,0,0,0
4,4,13,8,0,0,0
0,3,13,6,0,0,0
29,4,13,10,0,0,0
0,4,13,10,0,0,0
2,4,14,10,0,0,0
0,4,14,10,0,0,0
0,4,14,10,0,0,0
3,4,14,12,0,0,0
0,4,14,12,0,0,0
0,4,14,12,0,0,0
2,4,14,14,0,0,0
0,4,14,14,0,0,0
1,4,14,14,0,0,0
27,5,14,16,0,0,0
0,5,14,16,0,0,0
2,5,14,18,0,0,0
0,5,14,18,0,0,0
0,5,14,18,0,0,0
36,6,15,24,0,0,0
0,6,15,24,0,0,0
0,6,15,24,0,0,0
0,6,15,24,0,0,0
12,6,15,24,0,0,0
38,6,15,26,0,0,0
45,6,15,26,0,0,0
87,6,15,26,0,0,0
95,7,15,30,0,0,0
76,8,15,32,0,0,0
0,8,15,32,0,0,0
0,8,15,32,0,0,0
0,8,15,32,0,0,0
27,9,16,36,0,0,0
1,8,16,34,0,0,0
2,8,16,34,0,0,0
0,8,16,34,0,0,0
0,8,16,34,0,0,0
2,8,16,36,0,0,0
0,8,16,36,0,0,0
0,8,16,36,0,0,0
30,9,17,40,0,0,0
0,9,17,40,0,0,0
0,9,17,40,0,0,0
3,9,17,42,0,0,0
0,9,17,42,0,0,0
2,9,17,44,0,0,0
0,9,17,44,0,0,0
0,9,17,44,0,0,0
0,9,17,44,0,0,0
25,10,17,46,0,0,0
0,10,17,46,0,0,0
0,10,17,46,0,0,0
4,10,17,50,0,0,0
3,9,17,48,0,0,0
0,9,17,48,0,0,0
0,9,17,48,0,0,0
0,9,17,48,0,0,0
2,9,17,48,0,0,0
0,8,16,46,0,0,0
2,8,16,46,0,0,0
15,9,18,50,0,0,0
23,9,18,50,0,0,0
1,9,18,50,0,0,0
3,8,18,46,0,0,0
2,8,18,46,0,0,0
0,8,17,46,0,0,0
0,8,17,46,0,0,0
0,8,17,46,0,0,0
0,8,17,44,0,0,0
2,8,18,44,0,0,0
0,8,18,44,0,0,0
0,8,18,42,0,0,0
0,8,18,42,0,0,0
1,8,18,42,0,0,0
0,7,18,40,0,0,0
0,7,18,40,0,0,0
0,7,18,38,0,0,0
0,7,18,38,0,0,0
0,7,18,38,0,0,0
0,6,17,32,0,0,0
0,6,17,32,0,0,0
0,6,17,32,0,0,0
0,6,17,32,0,0,0
3,6,17,32,0,0,0
0,6,17,30,0,0,0
0,6,17,30,0,0,0
0,6,17,30,0,0,0
0,5,16,26,0,0,0
0,4,16,24,0,0,0
0,4,16,24,0,0,0
0,4,16,24,0,0,0
1,4,16,24,0,0,0
23,4,14,20,0,0,0
38,5,16,20,0,0,0
59,5,17,20,0,0,0
45,5,17,20,0,0,0
41,5,17,20,0,0,0
43,5,17,18,0,0,0
75,6,17,20,0,0,0
20,6,17,20,0,0,0
79,6,16,18,0,0,0
0,6,16,18,0,0,0
0,6,16,18,0,0,0
5,6,17,16,0,0,0
0,6,17,16,0,0,0
0,6,17,14,0,0,0
0,6,17,14,0,0,0
0,6,17,14,0,0,0
0,6,17,14,0,0,0
0,5,17,12,0,0,0
0,5,17,12,0,0,0
0,5,17,12,0,0,0
0,5,17,8,0,0,0
3,5,17,8,0,0,0
0,5,17,8,0,0,0
0,5,17,8,0,0,0
0,5,17,8,0,0,0
0,5,17,8,0,0,0
72,9,20,14,0,0,0
49,11,21,24,0,0,0
