UniqSrcIPs,DNSCount,ARPCount,UDPCount,HTTPCount,CorJSCount
14,16,4,0,2,3
12,14,2,0,2,3
12,16,2,0,2,3
12,16,2,0,2,3
13,16,4,0,2,2
13,6,4,0,2,3
11,6,2,0,2,2
10,6,2,0,2,1
10,6,2,0,2,1
10,6,2,0,2,1
11,6,2,0,2,1
13,12,2,0,2,1
10,8,0,0,0,3
9,8,0,0,0,2
8,8,0,0,0,2
8,8,0,0,0,2
9,8,0,0,0,2
9,8,0,0,0,2
7,6,0,0,0,2
5,0,0,0,0,2
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,1
5,0,0,0,0,1
5,0,0,0,0,1
5,0,0,0,0,1
6,2,0,0,2,1
5,2,0,0,2,1
6,2,0,0,2,1
6,2,0,0,2,1
5,2,0,0,2,0
5,2,0,0,2,0
7,2,0,0,2,0
7,2,0,0,2,0
6,0,0,0,0,0
6,0,0,0,0,1
6,0,0,0,0,1
9,4,0,0,2,2
10,4,0,0,2,2
10,4,0,0,2,2
9,4,0,0,2,2
11,8,0,0,2,2
11,8,0,0,2,3
11,8,0,0,2,2
12,8,0,0,2,2
9,4,0,0,0,1
9,6,0,0,0,1
8,6,0,0,0,1
9,8,0,0,0,1
8,4,0,0,0,1
6,4,0,0,0,0
6,4,0,0,0,0
4,4,0,0,0,0
3,4,2,0,0,0
5,2,2,0,0,0
5,4,2,0,0,0
5,2,2,0,0,0
5,2,2,0,0,0
6,2,2,0,0,0
6,2,2,0,0,0
6,2,2,0,0,0
6,2,0,0,0,0
5,2,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
7,0,2,0,0,0
9,2,2,0,2,0
9,2,2,0,2,0
9,2,2,0,2,0
9,2,2,0,2,0
9,2,2,0,2,0
8,2,2,0,2,0
8,2,2,0,2,0
6,2,0,0,2,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,2,0,0,0
2,0,2,0,0,0
2,0,2,0,0,0
3,0,2,0,0,0
3,0,2,0,0,0
5,2,2,0,1,0
5,2,2,0,1,0
5,2,2,0,1,0
5,2,0,0,2,0
5,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
5,0,0,0,1,0
4,0,0,0,1,0
5,0,0,0,1,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
6,2,2,0,2,0
6,2,2,0,2,0
6,2,4,0,2,0
6,2,4,0,2,0
6,2,6,0,2,0
9,4,6,0,2,1
9,4,6,0,2,1
9,4,6,0,2,1
8,2,6,0,0,1
8,2,6,0,0,1
10,6,4,0,0,2
10,6,4,0,0,2
10,6,2,0,0,2
8,4,2,0,0,1
8,4,2,0,0,1
9,6,2,0,0,1
8,6,0,0,0,1
8,6,0,0,0,1
5,4,0,0,0,0
5,4,0,0,0,0
4,4,0,0,0,0
6,6,0,0,0,1
6,6,0,0,0,1
5,6,0,0,0,1
5,6,0,0,0,1
5,6,0,0,0,1
7,10,4,0,0,2
7,10,4,0,0,2
7,10,4,0,0,2
5,8,4,0,0,1
7,8,4,0,0,1
7,8,4,0,0,1
8,8,4,0,0,1
8,8,4,0,0,1
7,6,0,0,2,0
7,8,0,0,4,1
7,8,0,0,4,1
7,8,0,0,4,1
6,8,0,0,4,1
8,10,0,0,4,2
9,10,0,0,4,2
10,10,0,0,4,2
9,6,0,0,2,2
6,4,0,0,0,1
6,6,0,0,0,1
6,6,0,0,0,1
6,6,0,0,0,1
6,6,0,0,0,0
6,6,0,0,0,0
4,6,0,0,0,0
5,8,0,0,0,0
5,8,0,0,0,0
5,8,0,0,0,0
5,8,0,0,0,0
5,8,0,0,0,0
3,4,0,0,0,0
5,6,0,0,0,1
5,6,0,0,0,1
4,4,0,0,0,1
4,8,0,0,0,1
5,6,0,0,0,1
5,6,0,0,0,1
5,6,0,0,0,1
5,6,0,0,0,1
5,4,0,0,0,0
5,4,0,0,0,0
5,4,0,0,0,0
8,4,2,0,0,0
9,4,2,0,0,1
9,4,2,0,0,1
10,4,2,0,0,1
10,4,2,0,0,1
9,4,2,0,0,1
9,4,2,0,0,1
9,4,2,0,0,1
7,0,0,0,0,1
6,0,0,0,0,0
6,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,1
7,0,0,0,0,1
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
10,2,0,0,2,2
9,2,0,0,2,2
8,4,0,0,4,1
8,4,0,0,4,1
5,4,0,0,4,0
8,4,2,0,4,2
8,4,2,0,4,2
8,4,2,0,4,2
7,2,2,0,2,2
7,2,2,0,2,2
3,0,2,0,0,2
3,0,2,0,0,2
3,0,2,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
7,6,4,0,0,3
9,16,4,0,0,5
10,16,4,0,0,6
14,16,4,0,0,7
14,16,4,0,0,8
14,16,4,0,0,8
17,18,4,0,0,9
17,18,4,0,0,9
16,12,0,0,0,6
15,2,0,0,0,4
14,4,0,0,0,3
11,4,0,0,0,2
9,4,0,0,0,1
8,4,0,0,0,1
6,2,0,0,0,0
7,2,0,0,0,0
7,2,0,0,0,0
7,2,0,0,0,0
7,6,0,0,0,1
7,6,0,0,0,1
7,6,0,0,0,1
8,6,0,0,0,1
8,6,0,0,0,1
5,8,0,0,0,1
5,8,0,0,0,1
8,8,0,0,0,1
7,2,0,0,0,0
8,4,0,0,2,0
9,4,0,0,2,0
7,4,0,0,2,0
7,4,0,0,2,0
6,2,0,0,2,0
7,4,0,0,2,0
6,4,0,0,2,0
6,4,0,0,2,0
4,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
5,2,0,0,2,0
5,2,0,0,2,0
8,4,0,0,2,4
8,4,0,0,2,4
8,4,2,0,2,4
8,4,2,0,2,4
8,6,2,0,2,4
10,6,2,0,2,4
7,4,2,0,0,4
7,4,2,0,0,4
5,2,2,0,0,0
6,2,2,0,0,0
6,2,0,0,0,0
6,2,0,0,0,0
5,0,0,0,0,0
4,2,0,0,0,0
6,2,0,0,0,0
7,2,0,0,0,0
6,2,0,0,0,0
6,4,0,0,2,0
7,4,0,0,2,0
7,4,0,0,2,0
8,4,0,0,2,0
7,2,0,0,2,0
7,2,0,0,2,0
7,2,0,0,2,0
7,2,0,0,2,0
7,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
7,2,0,0,2,1
7,2,0,0,2,1
9,2,0,0,2,1
8,2,0,0,2,1
8,4,0,0,4,2
8,4,0,0,4,2
7,4,0,0,4,2
8,4,0,0,4,2
8,2,0,0,2,1
8,2,0,0,2,1
8,2,0,0,2,1
8,2,0,0,2,1
5,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,2,0,0,1,0
5,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
6,2,0,0,2,0
5,2,0,0,2,0
5,0,0,0,1,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
7,0,0,0,0,0
10,6,4,0,2,1
10,6,4,0,2,1
11,6,4,0,2,1
11,6,4,0,2,1
12,20,6,0,2,1
12,20,6,0,2,1
12,20,6,0,2,1
12,20,6,0,2,1
7,14,2,0,0,0
7,14,2,0,0,0
5,14,2,0,0,0
5,14,2,0,0,0
2,0,0,0,0,0
4,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
6,2,2,0,2,0
6,2,2,0,2,0
6,2,2,0,2,0
6,2,2,0,2,0
6,2,2,0,2,0
7,2,2,0,2,0
7,2,2,0,2,0
7,2,2,0,2,0
4,0,0,0,0,0
5,0,0,0,0,0
8,2,0,0,2,0
9,6,2,0,2,0
10,8,2,0,2,1
11,8,2,0,2,1
11,15,2,0,2,1
11,15,2,0,2,1
11,15,2,0,2,1
11,17,2,0,2,1
10,17,2,0,0,1
11,21,2,0,0,3
10,19,2,0,0,2
