SYNBool,TCPCount,RSTCount,SSHCount,ThirdMNumberPackets,CorJSCount
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.08203125,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,13,0,0,6390.128906,0
0,46,0,0,64239,0
1,53,0,0,60013.5,0
1,53,0,0,59456.71875,0
1,53,0,0,59726.37891,0
1,57,0,0,57301.34766,0
1,57,0,0,57301.34766,0
1,57,0,0,57301.34766,0
1,44,0,0,71394.09375,0
1,11,0,0,99.01171875,0
0,4,0,0,34.74609375,0
0,4,0,0,39.55078125,0
1,13,0,0,1906.699219,0
1,18,0,0,2487.035156,0
2,29,0,0,1500,0
2,38,0,0,428.7539063,0
3,42,0,0,61.5,0
3,47,0,0,-39.85546875,0
3,48,0,0,39,0
4,57,0,0,32.49609375,0
4,58,0,0,350.5195313,1
5,57,0,0,657.0820313,1
4,47,0,0,994.40625,1
4,39,0,0,1545.375,1
4,44,0,0,1249.125,1
4,40,0,0,1429.40625,1
5,48,0,0,956.6835938,1
4,40,0,0,1387.417969,1
4,39,0,0,25.93359375,0
3,57,0,0,26189.68359,0
3,81,0,0,25800.31641,0
4,105,0,0,12878.09766,0
4,240,0,0,1291438.535,16
4,239,0,0,1295548.406,16
3,234,0,0,1314274.5,16
3,233,0,0,1318833.879,16
2,224,0,0,1347766.594,16
3,206,0,0,1498806.223,16
3,189,0,0,1654717.746,16
2,172,0,0,1789394.25,16
1,33,0,0,656.9179688,0
1,33,0,0,648.4570313,0
1,29,0,0,765.2460938,0
1,33,0,0,648.4570313,0
1,33,0,0,648,0
0,25,0,0,587.625,0
0,17,0,0,175.875,0
0,9,0,0,45.28125,0
0,4,0,0,10.125,0
0,4,0,0,10.125,0
0,4,0,0,10.125,0
0,0,0,0,0.28125,0
0,0,0,0,0.28125,0
1,10,0,0,1320.105469,1
1,10,0,0,1342.59375,1
1,10,0,0,1391.25,1
1,10,0,0,1367.660156,1
1,10,0,0,1417.183594,1
1,22,0,0,3414.75,1
2,51,0,0,34830.28125,2
3,88,0,0,23016.375,2
2,78,0,0,30822.46875,1
2,78,0,0,30822.46875,1
2,78,0,0,30822.46875,1
2,78,0,0,31018.86328,1
2,78,0,0,30613.55859,1
2,66,0,0,43154.63672,1
2,41,0,0,16024.88672,0
1,10,0,0,658.2773438,1
2,22,0,0,1368.082031,2
3,30,0,0,698.9882813,5
3,41,0,0,651,6
3,51,0,0,-488.6132813,6
3,61,0,0,-1154.121094,6
3,71,0,0,-436.03125,6
3,82,0,0,-700.5,6
3,76,0,0,-2179.488281,5
2,64,0,0,-2087.777344,4
1,60,0,0,-1407.503906,1
1,49,0,0,-4.875,0
1,39,0,0,1673.847656,0
1,29,0,0,2907.972656,0
1,19,0,0,3300.667969,0
0,4,0,0,12.99609375,0
0,4,0,0,12.99609375,0
0,4,0,0,16.32421875,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,1,0,0,4.62890625,0
0,1,0,0,4.62890625,0
1,8,0,0,194.90625,0
2,24,0,0,8025.527344,1
3,48,0,0,18937.5,5
4,98,0,0,47650.48828,6
5,107,0,0,37252.96875,7
5,112,0,0,32827.46484,8
6,121,0,0,26556.66797,9
6,121,0,0,26556.66797,9
5,114,0,0,26619.83203,9
4,98,0,0,42042,8
3,74,0,0,60734.26172,4
2,24,0,0,1434.28125,3
1,15,0,0,1957.933594,2
1,10,0,0,2426.449219,1
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3,0
1,15,0,0,9127.792969,0
1,28,0,0,8099.566406,0
1,42,0,0,5057.355469,0
2,77,0,0,17170.25391,1
2,81,0,0,14061.75,1
2,93,0,0,4962,2
3,109,0,0,1356.550781,3
3,117,0,0,6195.902344,3
2,111,0,0,8642.285156,3
2,105,0,0,10204.98047,3
2,101,0,0,12230.33203,3
2,87,0,0,365.625,2
2,87,0,0,330.5273438,3
2,75,0,0,-636.09375,2
1,59,0,0,-648.6914063,1
1,51,0,0,84.08203125,1
1,42,0,0,1493.261719,1
1,35,0,0,2870.15625,1
2,32,0,0,3195,1
1,22,0,0,3487.910156,3
1,18,0,0,4529.308594,2
1,18,0,0,4686,2
1,18,0,0,4792.03125,2
1,18,0,0,4740.949219,2
1,18,0,0,4792.03125,2
1,18,0,0,5034.84375,2
0,11,0,0,6014.121094,2
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,1,0,0,1.53515625,0
0,7,0,0,418.9804688,0
1,21,0,0,5037.28125,1
1,28,0,0,3787.066406,1
1,34,0,0,2673.949219,1
1,40,0,0,1796.238281,1
2,65,0,0,829.5,1
2,65,0,0,763.6523438,1
2,64,0,0,763.6523438,1
2,58,0,0,1399.207031,1
1,44,0,0,1199.15625,0
1,37,0,0,2075.308594,0
1,36,0,0,2187,0
1,37,0,0,2133.527344,0
1,23,0,0,736.3007813,0
1,35,0,0,1777.394531,1
2,44,0,0,588.8789063,1
3,75,0,0,6900.75,2
3,75,0,0,6952.957031,2
3,75,0,0,7009.59375,2
3,70,0,0,7956.527344,2
4,67,0,0,8807.71875,2
3,61,0,0,10876.03125,3
3,49,0,0,15771.65625,2
2,52,0,0,14987.25,2
1,21,0,0,1068.46875,1
1,21,0,0,1045.511719,1
1,21,0,0,1063.40625,1
1,21,0,0,998.6132813,1
0,17,0,0,1441.675781,1
0,12,0,0,1817.871094,0
0,12,0,0,1817.871094,0
0,0,0,0,1.40625,0
0,0,0,0,1.13671875,0
0,0,0,0,1.13671875,0
0,0,0,0,0.36328125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,3.22265625,0
0,0,0,0,3.22265625,0
0,0,0,0,3.22265625,0
0,0,0,0,4.74609375,0
0,0,0,0,6.55078125,0
0,8,0,0,981.8554688,0
0,15,0,0,1208.53125,0
0,23,0,0,666.5039063,0
0,31,0,0,67.875,0
1,45,0,0,-838.875,0
1,45,0,0,-784.96875,0
1,45,0,0,-784.96875,0
1,45,0,0,-784.96875,0
1,37,0,0,53.15625,0
1,30,0,0,944.6601563,0
1,22,0,0,1635.46875,0
1,14,0,0,1090.78125,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2.21484375,0
0,0,0,0,2.21484375,0
0,0,0,0,2.21484375,0
0,0,0,0,2.21484375,0
0,0,0,0,2.21484375,0
0,0,0,0,1.81640625,0
0,0,0,0,1.81640625,0
0,0,0,0,1.81640625,0
0,5,0,0,259.5820313,0
0,21,0,0,8651.964844,0
1,63,0,0,30691.875,0
1,228,0,0,420703.3945,0
1,331,0,0,284619.1758,0
1,398,0,0,187078.8633,0
1,407,0,0,186586.5,0
1,407,0,0,186986.707,0
1,402,0,0,187295.9063,0
1,386,0,0,232860.75,0
0,344,0,0,349926.9492,0
0,179,0,0,107642.3438,0
0,76,0,0,40876.37109,0
0,9,0,0,260.4257813,0
0,0,0,0,0.09375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,19,0,0,15191.61328,0
1,49,0,0,33018.57422,0
1,49,0,0,33018.57422,0
1,49,0,0,32052.24609,0
1,49,0,0,32052.24609,0
1,49,0,0,31132.04297,0
2,58,0,0,23409.62109,1
2,58,0,0,23409.62109,1
2,39,0,0,30994.40625,1
1,9,0,0,1458,1
1,9,0,0,1458,1
2,18,0,0,1832.707031,2
2,18,0,0,1832.707031,2
2,18,0,0,1920.480469,2
1,9,0,0,1812.527344,1
1,9,0,0,1812.527344,1
1,9,0,0,1725.65625,1
1,9,0,0,1845.46875,1
1,9,0,0,1845.46875,1
0,0,0,0,1.13671875,0
0,0,0,0,1.13671875,0
0,0,0,0,1.40625,0
1,9,0,0,1455.925781,1
1,9,0,0,1455.925781,1
1,9,0,0,1483.5,1
1,9,0,0,1483.5,1
1,9,0,0,1483.5,1
2,18,0,0,3136.21875,2
2,18,0,0,3136.21875,2
2,18,0,0,3184.019531,2
1,9,0,0,3731.71875,1
1,12,0,0,3152.90625,1
1,24,0,0,3765.46875,1
1,39,0,0,2934.902344,1
1,68,0,0,19570.59375,1
1,100,0,0,28598.28516,0
2,149,0,0,4709.050781,1
2,149,0,0,4709.050781,1
2,149,0,0,4709.050781,1
2,146,0,0,4476.035156,1
3,142,0,0,9949.78125,2
3,127,0,0,28514.34375,2
3,98,0,0,49857.64453,2
2,57,0,0,29639.34375,2
1,8,0,0,1534.78125,1
1,8,0,0,1483.5,1
1,8,0,0,1483.5,1
1,8,0,0,1483.5,1
1,9,0,0,2053.277344,0
1,9,0,0,2083.40625,0
1,9,0,0,2148,0
1,9,0,0,2048.964844,0
1,9,0,0,2048.964844,0
1,9,0,0,2048.964844,0
1,9,0,0,2048.964844,0
1,9,0,0,2048.964844,0
0,0,0,0,1.81640625,0
1,8,0,0,1165.78125,1
1,8,0,0,1165.78125,1
1,8,0,0,1234.933594,1
1,8,0,0,1141.230469,1
