ThirdMomentNumberOfPackets60,SYNCount60,UniqSrcIps60,DNSCount60,TelnetCount60,SSHCount60
1431.85175,1,9,4,110,0
1378.344593,1,9,4,95,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1268.541926,1,9,4,82,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1270.82075,1,9,4,82,0
1268.541926,1,10,4,82,0
1268.541926,1,10,4,82,0
1266.082657,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1261.561343,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1263.818,1,10,4,82,0
1268.541926,1,10,4,82,0
1268.541926,1,10,4,82,0
1275.846843,1,10,4,82,0
2190.450074,1,10,4,112,0
15654.52275,1,9,4,172,0
15687.99326,2,9,4,163,0
15821.51541,2,9,4,153,0
15979.46941,2,9,4,141,0
16047.51126,2,10,4,131,0
16186.49326,2,10,4,119,0
16304.86793,2,10,4,111,0
15769.30726,1,10,0,99,0
15787.74007,1,9,0,99,0
15787.74007,1,9,0,99,0
15806.2,1,9,0,99,0
15833.35,2,11,10,110,0
15826,2,12,10,127,0
15679.34074,3,13,10,134,0
15526.65732,3,13,10,140,0
15421.40575,4,13,12,140,0
15345.73659,4,13,12,140,0
15314.59918,4,13,12,140,0
15167.12459,5,13,12,140,0
15237.93575,6,14,16,140,0
15084.30532,7,14,16,140,0
15074.022,7,14,16,140,0
15041.83925,7,14,16,140,0
14864.63975,8,14,20,140,0
14832.7,8,14,20,140,0
14680.98874,9,14,20,140,0
14659.36459,9,13,20,140,0
14485.97674,10,13,20,140,0
19194.50741,10,13,20,190,0
22669.18449,10,13,20,240,0
23424.05726,12,13,20,265,0
365931.5988,27,13,22,265,0
365931.5988,27,13,22,265,0
365464.735,27,13,22,267,0
365464.735,27,13,22,267,0
365464.735,27,13,22,267,0
363085.1,28,14,32,278,0
361029.0988,28,14,32,295,0
359739.2057,28,14,32,303,0
358961.3208,28,14,32,308,0
358816.5227,28,14,34,308,0
358816.5227,28,14,34,308,0
358366.2208,28,14,34,308,0
358366.2208,28,14,34,308,0
358295,28,14,34,308,0
358295,28,14,34,308,0
358295,28,14,34,308,0
358295,28,14,34,308,0
358222.2325,28,14,36,308,0
358222.2325,28,14,36,308,0
358222.2325,28,14,36,308,0
358222.2325,28,14,36,308,0
356116.7398,29,16,36,308,0
356116.7398,29,16,36,308,0
356116.7398,29,16,36,308,0
356116.7398,29,16,36,308,0
356116.7398,29,16,36,308,0
353266.9228,29,16,36,332,0
351010.145,30,17,36,372,0
350379.684,31,17,42,357,0
350306.0693,31,17,42,293,0
351223.0323,30,17,42,290,0
351363.1697,30,17,42,290,0
351363.1697,30,17,42,290,0
351819.6935,30,17,42,288,0
351819.6935,30,17,42,288,0
350060.0298,31,18,44,288,0
349310.0783,31,18,44,288,0
346921.6458,33,20,44,288,0
345028.1438,34,21,44,288,0
342013.408,34,21,44,300,0
341935.378,33,21,34,309,0
341780.3173,33,20,34,312,0
340959.5123,32,20,34,325,0
339766.5953,33,20,34,338,0
340501.396,32,20,32,338,0
340875.604,32,21,32,338,0
340659.5426,32,21,32,340,0
341793.6447,31,21,32,340,0
344640.6977,30,20,28,340,0
345712.347,29,20,28,340,0
345780.0539,29,20,28,340,0
345988.8508,29,20,28,340,0
347427.3803,28,21,24,340,0
347639.0593,28,21,24,340,0
348761.1961,27,21,24,340,0
348905.548,27,21,24,340,0
350177.4781,26,21,24,340,0
352991.6574,26,21,24,290,0
355672.4178,26,21,24,240,0
358912.812,24,21,24,215,0
11239.13125,9,21,22,215,0
11239.13125,9,21,22,215,0
11311.55175,9,21,22,213,0
11311.55175,9,21,22,213,0
11311.55175,9,21,22,213,0
11589.24259,8,21,12,202,0
11862.93125,8,21,12,185,0
12071.36666,8,21,12,177,0
12202.91268,8,21,12,172,0
12225.92966,8,21,10,172,0
12177.45325,8,21,10,174,0
12253.24375,8,20,10,174,0
12067.22666,9,21,12,178,0
12439.66799,10,22,12,196,0
14751.13218,11,22,12,224,0
26224.77807,13,22,14,255,0
25589.92484,14,22,18,255,0
25132.65941,14,22,16,255,0
24459.10326,15,22,20,255,0
24459.10326,15,22,20,255,0
24459.10326,15,22,20,255,0
24977.992,14,21,24,255,0
24977.992,14,21,24,255,0
24977.992,14,21,24,255,0
24959.02568,14,21,26,255,0
24941.31141,14,21,26,255,0
25596.24341,14,21,26,231,0
20749.672,13,20,26,191,0
19691.25393,12,19,20,176,0
19629.83807,12,19,24,176,0
19629.83807,12,19,24,176,0
19629.83807,12,19,24,176,0
19654.29225,14,20,26,176,0
19279.63059,14,21,26,202,0
18930.81126,14,21,26,231,0
23964.20741,16,21,28,260,0
23738.34666,16,21,38,265,0
23875.89716,14,20,38,281,0
23798.48474,14,20,38,295,0
23915.61968,14,19,38,299,0
23975.77075,14,19,38,297,0
24083.38207,14,19,40,291,0
24097.23034,14,19,40,290,0
24118.864,15,20,44,282,0
23706.87199,15,20,44,282,0
23727.64726,15,19,44,282,0
23812.9,15,19,44,280,0
23812.9,15,19,44,280,0
23795.59251,15,19,44,280,0
23719.36366,15,20,46,280,0
23373.27407,17,21,52,280,0
22656.99674,17,21,52,280,0
22673.07418,17,21,52,280,0
22673.07418,17,21,52,280,0
22706.77249,17,21,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22706.77249,17,20,52,280,0
22722.99326,17,20,52,280,0
22706.77249,17,20,52,280,0
22690.6,17,20,52,280,0
22638.25775,17,20,52,282,0
22220.06825,17,20,52,294,0
21478.76059,18,20,52,308,0
21107.81101,18,20,52,318,0
20703.53151,18,20,52,330,0
20597.95066,17,20,50,338,0
20492.52993,17,19,52,327,0
19644.08101,16,18,52,299,0
9335.618176,14,18,50,268,0
9726.098074,13,18,46,268,0
10039.16549,13,17,46,268,0
10427.16875,12,17,42,268,0
10206.4,12,17,42,278,0
9898.31075,12,17,42,292,0
9578.586176,13,17,38,304,0
9248.644324,13,17,38,318,0
8912.291259,14,19,38,332,0
10135.00325,15,19,40,347,0
10135.00325,15,19,40,347,0
10135.00325,15,19,40,347,0
10135.00325,15,19,40,347,0
9890.573176,16,20,44,347,0
9727.307157,16,20,40,347,0
9727.307157,16,20,40,347,0
9284.317926,16,20,40,364,0
9511.096593,14,19,38,364,0
9911.93575,14,19,40,338,0
10229.66474,14,19,40,309,0
5101.95625,11,19,38,280,0
5312.222741,11,19,28,275,0
5113.561407,11,19,28,259,0
4976.962657,10,18,28,245,0
5189.07475,10,18,28,229,0
5378.996741,10,18,28,211,0
5564.73175,10,18,26,197,0
5722.936,10,18,28,178,0
5562.61025,8,18,24,167,0
5713.94375,8,18,24,167,0
5696.279657,8,18,24,167,0
5710.49375,8,18,24,167,0
5710.49375,8,18,24,167,0
5717.275407,8,18,24,167,0
5748.559259,8,17,22,167,0
5719.401009,6,17,16,183,0
5317.670074,6,16,16,199,0
5165.765509,6,17,16,213,0
5030.382657,6,18,16,229,0
4865.011324,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4858.284,7,18,18,234,0
4852.414343,7,18,18,234,0
4852.414343,7,18,18,234,0
4852.414343,7,18,18,234,0
4852.414343,7,18,18,234,0
4858.284,7,18,18,234,0
4878.44375,7,18,18,232,0
5030.55725,7,18,18,220,0
4742.738741,6,17,18,206,0
4880.478009,6,17,18,194,0
5013.461509,6,17,18,182,0
5144.951009,6,17,18,170,0
5036.572009,5,17,16,163,0
5036.572009,5,17,16,163,0
5036.572009,5,17,16,163,0
5036.572009,5,17,16,163,0
5036.572009,5,17,16,163,0
5036.572009,5,17,16,163,0
5143.076593,5,17,16,153,0
5240.61925,5,17,16,139,0
5303.985343,4,17,16,127,0
4894.48275,4,17,16,113,0
4865.994676,3,17,16,109,0
2488.574741,2,15,12,128,0
9135.813259,3,15,14,163,0
117546.9921,3,15,14,194,0
134264.4454,3,15,14,211,0
136631.7407,2,15,10,225,0
136578.3983,2,13,10,231,0
136531.8619,2,13,10,231,0
137973.7127,2,12,10,214,0
138020.6953,2,12,10,214,0
138115.8574,2,12,8,214,0
138115.8574,2,12,8,214,0
138213.224,2,12,6,214,0
138213.224,2,12,6,214,0
138213.224,2,12,6,214,0
138213.224,2,12,6,214,0
138213.224,2,12,6,214,0
138308.6679,2,12,6,214,0
138404.2554,2,12,6,214,0
138499.986,2,11,4,214,0
138595.8593,2,11,4,214,0
137026.0048,2,11,4,252,0
137407.0574,3,11,6,289,0
137407.0574,3,11,6,289,0
137200.958,3,11,6,289,0
137200.958,3,11,6,289,0
136995.4933,3,11,6,289,0
136790.3467,4,14,8,273,0
138188.5882,4,13,8,257,0
139483.4087,4,13,8,243,0
140823.1741,4,13,8,227,0
142171.8994,3,13,6,222,0
140680.0827,4,13,10,222,0
140680.0827,4,13,10,222,0
140576.803,4,14,10,222,0
140576.803,4,14,10,222,0
140576.803,4,14,10,222,0
140420.4866,4,14,12,222,0
140420.4866,4,14,12,222,0
140471.3923,4,14,12,222,0
140368.4242,4,14,14,222,0
140368.4242,4,14,14,222,0
140368.4242,4,14,14,222,0
138867.0494,5,14,16,222,0
138867.0494,5,14,16,222,0
138765.3166,5,14,18,222,0
138765.3166,5,14,18,222,0
138765.3166,5,14,18,222,0
136877.3006,6,15,24,222,0
136877.3006,6,15,24,222,0
136877.3006,6,15,24,222,0
136877.3006,6,15,24,222,0
136370.8378,6,15,24,228,0
