"R"," R", "163097","09:09:45.325407","","","ARP","60","172.16.0.1 is at 00:10:7b:38:46:33"
"R"," R", "163145","09:09:56.388970","172.16.114.207","195.115.218.108","SMTP","138","S: 220 pigeon.eyrie.af.mil ESMTP Sendmail 8.8.7/8.8.7; Wed, 7 Apr 1999 09:10:01 -0400"
"R"," R", "163146","09:09:56.391866","195.115.218.108","172.16.114.207","SMTP","77","C: EHLO epsilon.pear.com"
"R"," R", "163147","09:09:56.392291","172.16.114.207","195.115.218.108","SMTP","80","S: 500 Command unrecognized"
"R"," R", "163148","09:09:56.393152","195.115.218.108","172.16.114.207","SMTP","77","C: HELO epsilon.pear.com"
"R"," R", "163149","09:09:56.393405","172.16.114.207","195.115.218.108","SMTP","99","S: 250 (epsilon.pear.com) pleased to meet you."
"R"," R", "163150","09:09:56.394260","195.115.218.108","172.16.114.207","SMTP","93","C: MAIL From:<ariellen@epsilon.pear.com>"
"R"," R", "163151","09:09:56.394512","172.16.114.207","195.115.218.108","SMTP","100","S: 250 <ariellen@epsilon.pear.com>... Sender Ok"
"R"," R", "163152","09:09:56.395416","195.115.218.108","172.16.114.207","SMTP","92","C: RCPT To:<tonyae@pigeon.eyrie.af.mil>"
"R"," R", "163153","09:09:56.395670","172.16.114.207","195.115.218.108","SMTP","91","S: 250 <tonyae@pigeon.eyrie.af.mil> OK"
"R"," R", "163154","09:09:56.396492","195.115.218.108","172.16.114.207","SMTP","60","C: DATA"
"R"," R", "163155","09:09:56.398561","172.16.114.207","195.115.218.108","SMTP","104","S: 354 Enter mail, end with ." on a line by itself""
"R"," R", "163156","09:09:56.401100","195.115.218.108","172.16.114.207","SMTP","1078","C: DATA fragment, 1024 bytes"
"R"," R", "163157","09:09:56.402690","195.115.218.108","172.16.114.207","SMTP","1514","C: DATA fragment, 1460 bytes"
"R"," R", "163158","09:09:56.403945","195.115.218.108","172.16.114.207","SMTP","1514","C: DATA fragment, 1460 bytes"
"R"," R", "163159","09:09:56.409977","172.16.114.207","195.115.218.108","TCP","60","25 → 4824 [ACK] Seq=289 Ack=4074 Win=32736 Len=0"
"R"," R", "163160","09:09:56.411663","195.115.218.108","172.16.114.207","IMF","669","subject: I look, , I look Middleton of two principle, for the header of The kernel Part of  , The supercomputer and The environment Aspirin bug?  Laws.  Comments  , and Fellows are certain it.  Anderson Andrew project andrew by append  , for The vector to discuss their information retrieval; over million  , Over The phonemes in an to gs Cb m P P.  Specific keys, the was out to  , a.  Echo Echo name.  From for between The too, not a frame based The  , introduction and solve The one standby of lines are applications  , Engineer for digital state prison and Ritchie, and send a title in c l  , l Ed know what they name to be Aspirin parser for only if there are  , build the file; that can add to resolve all The Dna of Gnu software  , with a speech and by id Aug Edt Date.   ,   , Binary decision and functions and so I think be more conventional  , telephones over particular I also something will be into The surfaces,  , nodes.  And recognition and Please do they will be equivalent of the  , personal ls On The state of source such that The a variety of the best  , time members, Friday The challenge.   ,   ,     Within May June Re.  How easy to agent interface Board level is  ,     response and.  The they think: is just like Frank a version of.   ,   ,     It takes nil or processor, the purpose of to application The  ,     character old images.   ,   ,     Any reasons.  Of kernel still hang his Cmu Room is week ago.  When  ,     we it would However, The body of and r y x clients.   , Here is some perl code  ,   ,  $init_file = $1 . .src";  "
"R"," R", "163161","09:09:56.426249","172.16.114.207","195.115.218.108","SMTP","73","S: 250 Mail accepted"
"R"," R", "163162","09:09:56.427011","195.115.218.108","172.16.114.207","SMTP","60","C: QUIT"
"R"," R", "163163","09:09:56.427280","172.16.114.207","195.115.218.108","SMTP","78","S: 221 Closing connection"
"R"," R", "163164","09:09:56.428180","172.16.114.207","195.115.218.108","TCP","60","25 → 4824 [FIN, ACK] Seq=332 Ack=4695 Win=32736 Len=0"
"R"," R", "163165","09:09:56.428874","195.115.218.108","172.16.114.207","TCP","60","4824 → 25 [ACK] Seq=4695 Ack=333 Win=32120 Len=0"
"R"," R", "163166","09:09:56.430120","195.115.218.108","172.16.114.207","TCP","60","4824 → 25 [FIN, ACK] Seq=4695 Ack=333 Win=32120 Len=0"
"R"," R", "163167","09:09:56.430282","172.16.114.207","195.115.218.108","TCP","60","25 → 4824 [ACK] Seq=333 Ack=4696 Win=32735 Len=0"
"R"," R", "163168","09:09:57.134512","172.16.114.207","134.205.131.13","TCP","60","3248 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "163169","09:09:57.139574","134.205.131.13","172.16.114.207","TCP","60","80 → 3248 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "163170","09:09:57.139757","172.16.114.207","134.205.131.13","TCP","60","3248 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "163171","09:09:57.140294","172.16.114.207","134.205.131.13","HTTP","330","GET /javascript:DisplayNewUserApplicationForm(); HTTP/1.0 "
"R"," R", "163172","09:09:57.159364","134.205.131.13","172.16.114.207","TCP","60","80 → 3248 [ACK] Seq=1 Ack=277 Win=32736 Len=0"
"R"," R", "163173","09:09:57.203022","134.205.131.13","172.16.114.207","HTTP","530","HTTP/1.0 404 Not found  (text/html)HTTP/1.0 404 Not found "
"R"," R", "163174","09:09:57.203089","134.205.131.13","172.16.114.207","TCP","60","80 → 3248 [FIN, ACK] Seq=477 Ack=277 Win=32736 Len=0"
"R"," R", "163175","09:09:57.203219","172.16.114.207","134.205.131.13","TCP","60","3248 → 80 [ACK] Seq=277 Ack=478 Win=31643 Len=0"
"R"," R", "163176","09:09:57.203583","172.16.114.207","134.205.131.13","TCP","60","3248 → 80 [FIN, ACK] Seq=277 Ack=478 Win=32120 Len=0"
"R"," R", "163177","09:09:57.208238","134.205.131.13","172.16.114.207","TCP","60","80 → 3248 [ACK] Seq=478 Ack=278 Win=32735 Len=0"
"R"," R", "163178","09:09:57.904154","","","LOOP","60","Reply"
"R"," R", "163179","09:09:58.998438","172.16.0.1","224.0.0.9","RIPv2","86","Response"
"R"," R", "163180","09:09:59.761749","172.16.112.100","172.16.112.10","NTP","90","NTP Version 1, client"
"R"," R", "163181","09:09:59.762242","172.16.112.10","172.16.112.100","NTP","90","NTP Version 1, server"
"R"," R", "163182","09:10:01.759979","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163183","09:10:01.764846","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163184","09:10:01.778808","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=871 Ack=7590 Win=32120 Len=0"
"R"," R", "163185","09:10:02.008907","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163186","09:10:02.010028","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163187","09:10:02.028755","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=872 Ack=7591 Win=32120 Len=0"
"R"," R", "163188","09:10:02.678811","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163189","09:10:02.679832","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163190","09:10:02.698614","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=873 Ack=7592 Win=32120 Len=0"
"R"," R", "163191","09:10:03.348831","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163192","09:10:03.349850","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163193","09:10:03.368485","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=874 Ack=7593 Win=32120 Len=0"
"R"," R", "163194","09:10:03.566758","172.16.115.234","172.16.112.100","NBNS","110","Refresh NB PC0<03>"
"R"," R", "163195","09:10:03.849494","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163196","09:10:03.850442","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163197","09:10:03.868369","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=187 Ack=2083 Win=32120 Len=0"
"R"," R", "163198","09:10:03.968502","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163199","09:10:03.969320","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163200","09:10:03.988340","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=875 Ack=7594 Win=32120 Len=0"
"R"," R", "163201","09:10:04.098438","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163202","09:10:04.099210","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163203","09:10:04.118311","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=188 Ack=2084 Win=32120 Len=0"
"R"," R", "163204","09:10:04.218409","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163205","09:10:04.219181","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163206","09:10:04.238287","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=876 Ack=7595 Win=32120 Len=0"
"R"," R", "163207","09:10:04.328390","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163208","09:10:04.329481","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163209","09:10:04.348276","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=189 Ack=2085 Win=32120 Len=0"
"R"," R", "163210","09:10:04.468346","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163211","09:10:04.469341","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163212","09:10:04.488234","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=190 Ack=2086 Win=32120 Len=0"
"R"," R", "163213","09:10:04.508350","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163214","09:10:04.509472","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163215","09:10:04.528227","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=877 Ack=7596 Win=32120 Len=0"
"R"," R", "163216","09:10:04.568339","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163217","09:10:04.569443","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163218","09:10:04.588214","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=191 Ack=2087 Win=32120 Len=0"
"R"," R", "163219","09:10:04.669156","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163220","09:10:04.670348","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163221","09:10:04.688194","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=193 Ack=2089 Win=32120 Len=0"
"R"," R", "163222","09:10:04.811269","135.13.216.191","172.16.112.149","TELNET","65","Telnet Data ..."
"R"," R", "163223","09:10:04.822881","135.13.216.191","172.16.112.149","TELNET","1514","Telnet Data ..."
"R"," R", "163224","09:10:04.828168","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=193 Ack=3560 Win=32120 Len=0"
"R"," R", "163225","09:10:04.829682","135.13.216.191","172.16.112.149","TELNET","490","Telnet Data ..."
"R"," R", "163226","09:10:04.848161","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=193 Ack=3996 Win=32120 Len=0"
"R"," R", "163227","09:10:04.895009","196.37.75.158","172.16.114.169","TCP","60","4825 → 25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "163228","09:10:04.895302","172.16.114.169","196.37.75.158","TCP","60","25 → 4825 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "163229","09:10:04.896038","196.37.75.158","172.16.114.169","TCP","60","4825 → 25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "163230","09:10:04.929927","172.16.114.169","196.37.75.158","SMTP","143","S: 220 swan.eyrie.af.mil Sendmail SMI-8.6/SMI-SVR4 ready at Wed, 7 Apr 1999 09:10:09 -0400"
"R"," R", "163231","09:10:04.949183","196.37.75.158","172.16.114.169","TCP","60","4825 → 25 [ACK] Seq=1 Ack=90 Win=32120 Len=0"
"R"," R", "163232","09:10:04.967830","196.37.75.158","172.16.114.169","SMTP","79","C: EHLO jupiter.cherry.org"
"R"," R", "163233","09:10:04.977298","172.16.114.169","196.37.75.158","SMTP","80","S: 500 Command unrecognized"
"R"," R", "163234","09:10:04.978329","196.37.75.158","172.16.114.169","SMTP","79","C: HELO jupiter.cherry.org"
"R"," R", "163235","09:10:04.978601","172.16.114.169","196.37.75.158","SMTP","101","S: 250 (jupiter.cherry.org) pleased to meet you."
"R"," R", "163236","09:10:04.979511","196.37.75.158","172.16.114.169","SMTP","95","C: MAIL From:<timothyo@jupiter.cherry.org>"
"R"," R", "163237","09:10:04.979746","172.16.114.169","196.37.75.158","SMTP","102","S: 250 <timothyo@jupiter.cherry.org>... Sender Ok"
"R"," R", "163238","09:10:04.980683","196.37.75.158","172.16.114.169","SMTP","90","C: RCPT To:<geoffp@swan.eyrie.af.mil>"
"R"," R", "163239","09:10:04.980900","172.16.114.169","196.37.75.158","SMTP","89","S: 250 <geoffp@swan.eyrie.af.mil> OK"
"R"," R", "163240","09:10:04.981748","196.37.75.158","172.16.114.169","SMTP","60","C: DATA"
"R"," R", "163241","09:10:04.983555","172.16.114.169","196.37.75.158","SMTP","104","S: 354 Enter mail, end with ." on a line by itself""
"R"," R", "163242","09:10:04.986043","196.37.75.158","172.16.114.169","SMTP","1078","C: DATA fragment, 1024 bytes"
"R"," R", "163243","09:10:04.998152","172.16.114.169","196.37.75.158","TCP","60","25 → 4825 [ACK] Seq=296 Ack=1158 Win=32736 Len=0"
"R"," R", "163244","09:10:04.999247","196.37.75.158","172.16.114.169","IMF","311","subject: Equal must have, , Equal must have done weekend if you have also I've been into intelligent  , in hardcopy putative hit filenames in whole now working on to research  , techniques for further.  Hugs!  In the Name, is that I we All terms  , much.  Create an the Con?   ,   ,     We're on at all other features and state of passage is or a high  ,     spaces Hardy spaces for The others However, it seems to order  ,     Thanks.   ,   ,             Note to normal except for expenses additional I put it, does  ,             not from by id Sat, Nov for that while it needs to Compare  ,             the last week with sets: except so that error, message Re;  ,             Apple is yes to and a to find a file, are from me new to  ,             still substantial background same Name of Computer  ,             technology, program which edits since my new features too,  ,             is by id Wed, Aug Edt by wasn't because we are of is small  ,             publishing Inc.   ,   ,             We'd give could not sure we do it gives me I look at one I  ,             sent.   "
"R"," R", "163245","09:10:05.018139","172.16.114.169","196.37.75.158","TCP","60","25 → 4825 [ACK] Seq=296 Ack=1415 Win=32479 Len=0"
"R"," R", "163246","09:10:05.022653","172.16.114.169","196.37.75.158","SMTP","73","S: 250 Mail accepted"
"R"," R", "163247","09:10:05.023421","196.37.75.158","172.16.114.169","SMTP","60","C: QUIT"
"R"," R", "163248","09:10:05.023665","172.16.114.169","196.37.75.158","SMTP","78","S: 221 Closing connection"
"R"," R", "163249","09:10:05.024564","172.16.114.169","196.37.75.158","TCP","60","25 → 4825 [FIN, ACK] Seq=339 Ack=1421 Win=32736 Len=0"
"R"," R", "163250","09:10:05.025303","196.37.75.158","172.16.114.169","TCP","60","4825 → 25 [ACK] Seq=1421 Ack=340 Win=32120 Len=0"
"R"," R", "163251","09:10:05.026373","196.37.75.158","172.16.114.169","TCP","60","4825 → 25 [FIN, ACK] Seq=1421 Ack=340 Win=32120 Len=0"
"R"," R", "163252","09:10:05.026526","172.16.114.169","196.37.75.158","TCP","60","25 → 4825 [ACK] Seq=340 Ack=1422 Win=32735 Len=0"
"R"," R", "163253","09:10:05.068418","172.16.115.234","172.16.112.100","NBNS","110","Refresh NB PC0<03>"
"R"," R", "163254","09:10:05.098450","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163255","09:10:05.099352","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163256","09:10:05.118133","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=878 Ack=7597 Win=32120 Len=0"
"R"," R", "163257","09:10:05.291001","197.218.177.69","172.16.113.50","TELNET","61","Telnet Data ..."
"R"," R", "163258","09:10:05.309904","172.16.113.50","197.218.177.69","TELNET","61","Telnet Data ..."
"R"," R", "163259","09:10:05.329036","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=123 Ack=643 Win=32696 Len=0"
"R"," R", "163260","09:10:05.351662","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163261","09:10:05.352436","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163262","09:10:05.368055","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=879 Ack=7598 Win=32120 Len=0"
"R"," R", "163263","09:10:05.598224","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163264","09:10:05.599268","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163265","09:10:05.618002","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=880 Ack=7599 Win=32120 Len=0"
"R"," R", "163266","09:10:06.031902","172.16.112.20","192.168.1.20","DNS","77","Standard query 0x685a A www.ssionline.com"
"R"," R", "163267","09:10:06.036563","192.168.1.20","172.16.112.20","DNS","137","Standard query response 0x685a A www.ssionline.com A 207.82.198.116 NS aesop.world.net A 192.168.1.20"
"R"," R", "163268","09:10:06.037921","172.16.113.105","207.82.198.116","TCP","60","3249 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "163269","09:10:06.188065","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163270","09:10:06.189117","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163271","09:10:06.207875","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=881 Ack=7600 Win=32120 Len=0"
"R"," R", "163272","09:10:06.437953","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163273","09:10:06.439026","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163274","09:10:06.457821","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=882 Ack=7601 Win=32120 Len=0"
"R"," R", "163275","09:10:06.570140","172.16.115.234","172.16.112.100","NBNS","110","Refresh NB PC0<03>"
"R"," R", "163276","09:10:06.688108","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163277","09:10:06.689198","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163278","09:10:06.707780","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=883 Ack=7602 Win=32120 Len=0"
"R"," R", "163279","09:10:06.823676","","","CDP","324","Device ID: loud.eyrie.af.mil.eyrie.af.mil  Port ID: Ethernet1  "
"R"," R", "163280","09:10:06.968052","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163281","09:10:06.969146","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163282","09:10:06.987717","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=884 Ack=7603 Win=32120 Len=0"
"R"," R", "163283","09:10:07.507881","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163284","09:10:07.508840","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163285","09:10:07.527602","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=885 Ack=7604 Win=32120 Len=0"
"R"," R", "163286","09:10:08.058179","","","LOOP","60","Reply"
"R"," R", "163287","09:10:08.177578","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163288","09:10:08.178361","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163289","09:10:08.197454","172.16.112.149","135.13.216.191","TCP","60","30176 → 23 [ACK] Seq=886 Ack=7605 Win=32120 Len=0"
"R"," R", "163290","09:10:08.427526","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
